C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,Date,CountryName,RegionName,PrescriptionIndex
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-16,Peru,,4
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-17,Peru,,4
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-18,Peru,,4
0,3,0,4,0,0,2,0,0,2,0,0,2021-02-19,Peru,,4
0,3,0,4,0,0,2,0,0,1,0,0,2021-02-20,Peru,,4
0,3,0,4,0,0,2,2,0,3,0,0,2021-02-15,Peru,,5
0,3,0,4,0,0,2,1,0,3,0,0,2021-02-16,Peru,,5
0,3,0,4,0,0,2,1,0,3,0,0,2021-02-17,Peru,,5
0,3,0,4,0,0,2,0,0,3,0,0,2021-02-18,Peru,,5
0,3,0,4,0,0,2,0,0,3,0,0,2021-02-19,Peru,,5
0,3,0,4,0,0,2,0,0,3,0,0,2021-02-20,Peru,,5
2,3,0,4,0,0,2,3,0,3,0,0,2021-02-15,Peru,,6
2,3,0,4,0,0,2,3,0,3,0,0,2021-02-16,Peru,,6
1,3,0,4,0,0,2,3,0,3,0,0,2021-02-17,Peru,,6
0,3,0,4,0,0,2,3,0,3,0,0,2021-02-18,Peru,,6
0,3,0,4,0,0,2,2,0,3,0,0,2021-02-19,Peru,,6
0,3,0,4,0,0,2,1,0,3,0,0,2021-02-20,Peru,,6
3,3,0,4,0,0,2,3,0,3,0,0,2021-02-15,Peru,,7
3,3,0,4,0,0,2,3,0,3,0,0,2021-02-16,Peru,,7
3,3,0,4,0,0,2,3,0,3,0,0,2021-02-17,Peru,,7
3,3,0,4,0,0,2,3,0,3,0,0,2021-02-18,Peru,,7
1,3,0,4,0,0,2,3,0,3,0,0,2021-02-19,Peru,,7
0,3,0,4,0,0,2,3,0,3,0,0,2021-02-20,Peru,,7
3,3,0,4,2,0,2,4,0,3,0,0,2021-02-15,Peru,,8
3,3,0,4,1,0,2,4,0,3,0,0,2021-02-16,Peru,,8
3,3,0,4,1,0,2,4,0,3,0,0,2021-02-17,Peru,,8
3,3,0,4,1,0,2,4,0,3,0,0,2021-02-18,Peru,,8
3,3,0,4,0,0,2,4,0,3,0,0,2021-02-19,Peru,,8
3,3,0,4,0,0,2,4,0,3,0,0,2021-02-20,Peru,,8
3,3,0,4,2,0,2,4,2,3,0,0,2021-02-15,Peru,,9
3,3,0,4,2,0,2,4,2,3,0,0,2021-02-16,Peru,,9
3,3,0,4,2,0,2,4,1,3,0,0,2021-02-17,Peru,,9
3,3,0,4,2,0,2,4,1,3,0,0,2021-02-18,Peru,,9
3,3,0,4,2,0,2,4,0,3,0,0,2021-02-19,Peru,,9
3,3,0,4,2,0,2,4,0,3,0,0,2021-02-20,Peru,,9
2,0,0,0,0,0,0,0,0,0,0,0,2021-02-15,Philippines,,0
2,0,0,0,0,0,0,0,0,0,0,0,2021-02-16,Philippines,,0
2,0,0,0,0,0,0,0,0,0,0,0,2021-02-17,Philippines,,0
1,0,0,0,0,0,0,0,0,0,0,0,2021-02-18,Philippines,,0
1,0,0,0,0,0,0,0,0,0,0,0,2021-02-19,Philippines,,0
0,0,0,0,0,0,0,0,0,0,0,0,2021-02-20,Philippines,,0
3,0,0,0,0,0,0,0,0,0,0,0,2021-02-15,Philippines,,1
3,0,0,0,0,0,0,0,0,0,0,0,2021-02-16,Philippines,,1
3,0,0,0,0,0,0,0,0,0,0,0,2021-02-17,Philippines,,1
3,0,0,0,0,0,0,0,0,0,0,0,2021-02-18,Philippines,,1
3,0,0,0,0,0,0,0,0,0,0,0,2021-02-19,Philippines,,1
2,0,0,0,0,0,0,0,0,0,0,0,2021-02-20,Philippines,,1
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-15,Philippines,,2
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-16,Philippines,,2
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-17,Philippines,,2
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-18,Philippines,,2
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-19,Philippines,,2
3,0,0,0,0,0,0,0,1,0,0,0,2021-02-20,Philippines,,2
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-15,Philippines,,3
3,2,0,0,0,0,0,0,2,0,0,0,2021-02-16,Philippines,,3
3,1,0,0,0,0,0,0,2,0,0,0,2021-02-17,Philippines,,3
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-18,Philippines,,3
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-19,Philippines,,3
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-20,Philippines,,3
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-15,Philippines,,4
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-16,Philippines,,4
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-17,Philippines,,4
3,2,0,0,0,0,0,0,2,0,0,0,2021-02-18,Philippines,,4
3,1,0,0,0,0,0,0,2,0,0,0,2021-02-19,Philippines,,4
3,0,0,0,0,0,0,0,2,0,0,0,2021-02-20,Philippines,,4
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-15,Philippines,,5
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-16,Philippines,,5
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-17,Philippines,,5
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-18,Philippines,,5
3,3,0,0,0,0,0,0,2,0,0,0,2021-02-19,Philippines,,5
3,2,0,0,0,0,0,0,2,0,0,0,2021-02-20,Philippines,,5
3,3,0,0,0,0,2,0,2,1,0,0,2021-02-15,Philippines,,6
3,3,0,0,0,0,2,0,2,1,0,0,2021-02-16,Philippines,,6
3,3,0,0,0,0,2,0,2,0,0,0,2021-02-17,Philippines,,6
3,3,0,0,0,0,2,0,2,0,0,0,2021-02-18,Philippines,,6
3,3,0,0,0,0,2,0,2,0,0,0,2021-02-19,Philippines,,6
3,3,0,0,0,0,2,0,2,0,0,0,2021-02-20,Philippines,,6
3,3,0,0,1,0,2,0,2,3,0,0,2021-02-15,Philippines,,7
3,3,0,0,1,0,2,0,2,3,0,0,2021-02-16,Philippines,,7
3,3,0,0,1,0,2,0,2,3,0,0,2021-02-17,Philippines,,7
3,3,0,0,0,0,2,0,2,3,0,0,2021-02-18,Philippines,,7
3,3,0,0,0,0,2,0,2,3,0,0,2021-02-19,Philippines,,7
3,3,0,0,0,0,2,0,2,2,0,0,2021-02-20,Philippines,,7
3,3,2,0,2,0,2,0,2,3,0,4,2021-02-15,Philippines,,8
3,3,2,0,2,0,2,0,2,3,0,4,2021-02-16,Philippines,,8
3,3,1,0,2,0,2,0,2,3,0,4,2021-02-17,Philippines,,8
3,3,0,0,2,0,2,0,2,3,0,4,2021-02-18,Philippines,,8
3,3,0,0,2,0,2,0,2,3,0,4,2021-02-19,Philippines,,8
3,3,0,0,2,0,2,0,2,3,0,2,2021-02-20,Philippines,,8
3,3,2,0,2,0,2,3,2,3,0,4,2021-02-15,Philippines,,9
3,3,2,0,2,0,2,3,2,3,0,4,2021-02-16,Philippines,,9
3,3,2,0,2,0,2,2,2,3,0,4,2021-02-17,Philippines,,9
3,3,2,0,2,0,2,2,2,3,0,4,2021-02-18,Philippines,,9
3,3,2,0,2,0,2,1,2,3,0,4,2021-02-19,Philippines,,9
3,3,2,0,2,0,2,1,2,3,0,4,2021-02-20,Philippines,,9
2,0,0,0,0,0,2,0,0,0,0,0,2021-02-15,Burkina Faso,,0
1,0,0,0,0,0,2,0,0,0,0,0,2021-02-16,Burkina Faso,,0
1,0,0,0,0,0,2,0,0,0,0,0,2021-02-17,Burkina Faso,,0
0,0,0,0,0,0,2,0,0,0,0,0,2021-02-18,Burkina Faso,,0
0,0,0,0,0,0,2,0,0,0,0,0,2021-02-19,Burkina Faso,,0
0,0,0,0,0,0,2,0,0,0,0,0,2021-02-20,Burkina Faso,,0
3,0,0,0,0,0,2,0,0,0,0,0,2021-02-15,Burkina Faso,,1
3,0,0,0,0,0,2,0,0,0,0,0,2021-02-16,Burkina Faso,,1
3,0,0,0,0,0,2,0,0,0,0,0,2021-02-17,Burkina Faso,,1
2,0,0,0,0,0,2,0,0,0,0,0,2021-02-18,Burkina Faso,,1
2,0,0,0,0,0,2,0,0,0,0,0,2021-02-19,Burkina Faso,,1
0,0,0,0,0,0,2,0,0,0,0,0,2021-02-20,Burkina Faso,,1
3,0,0,0,0,0,2,0,1,0,0,0,2021-02-15,Burkina Faso,,2
3,0,0,0,0,0,2,0,1,0,0,0,2021-02-16,Burkina Faso,,2
3,0,0,0,0,0,2,0,1,0,0,0,2021-02-17,Burkina Faso,,2
3,0,0,0,0,0,2,0,1,0,0,0,2021-02-18,Burkina Faso,,2
3,0,0,0,0,0,2,0,0,0,0,0,2021-02-19,Burkina Faso,,2
3,0,0,0,0,0,2,0,0,0,0,0,2021-02-20,Burkina Faso,,2
3,2,1,0,0,0,2,0,2,0,0,0,2021-02-15,Burkina Faso,,3
3,1,1,0,0,0,2,0,2,0,0,0,2021-02-16,Burkina Faso,,3
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-17,Burkina Faso,,3
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-18,Burkina Faso,,3
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-19,Burkina Faso,,3
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-20,Burkina Faso,,3
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-15,Burkina Faso,,4
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-16,Burkina Faso,,4
3,2,1,0,0,0,2,0,2,0,0,0,2021-02-17,Burkina Faso,,4
3,1,1,0,0,0,2,0,2,0,0,0,2021-02-18,Burkina Faso,,4
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-19,Burkina Faso,,4
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-20,Burkina Faso,,4
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-15,Burkina Faso,,5
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-16,Burkina Faso,,5
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-17,Burkina Faso,,5
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-18,Burkina Faso,,5
3,1,1,0,0,0,2,0,2,0,0,0,2021-02-19,Burkina Faso,,5
3,0,0,0,0,0,2,0,2,0,0,0,2021-02-20,Burkina Faso,,5
3,3,2,0,0,0,2,0,2,0,0,0,2021-02-15,Burkina Faso,,6
3,3,2,0,0,0,2,0,2,0,0,0,2021-02-16,Burkina Faso,,6
3,3,2,0,0,0,2,0,2,0,0,0,2021-02-17,Burkina Faso,,6
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-18,Burkina Faso,,6
3,3,1,0,0,0,2,0,2,0,0,0,2021-02-19,Burkina Faso,,6
3,3,0,0,0,0,2,0,2,0,0,0,2021-02-20,Burkina Faso,,6
3,3,2,4,0,0,2,0,2,1,0,0,2021-02-15,Burkina Faso,,7
3,3,2,4,0,0,2,0,2,1,0,0,2021-02-16,Burkina Faso,,7
3,3,2,4,0,0,2,0,2,0,0,0,2021-02-17,Burkina Faso,,7
3,3,2,4,0,0,2,0,2,0,0,0,2021-02-18,Burkina Faso,,7
3,3,2,3,0,0,2,0,2,0,0,0,2021-02-19,Burkina Faso,,7
3,3,2,2,0,0,2,0,2,0,0,0,2021-02-20,Burkina Faso,,7
3,3,2,4,1,0,2,2,2,3,0,0,2021-02-15,Burkina Faso,,8
3,3,2,4,0,0,2,2,2,3,0,0,2021-02-16,Burkina Faso,,8
3,3,2,4,0,0,2,1,2,3,0,0,2021-02-17,Burkina Faso,,8
3,3,2,4,0,0,2,1,2,3,0,0,2021-02-18,Burkina Faso,,8
3,3,2,4,0,0,2,1,2,3,0,0,2021-02-19,Burkina Faso,,8
3,3,2,4,0,0,2,0,2,2,0,0,2021-02-20,Burkina Faso,,8
3,3,2,4,2,0,2,2,2,3,0,0,2021-02-15,Burkina Faso,,9
3,3,2,4,2,0,2,2,2,3,0,0,2021-02-16,Burkina Faso,,9
3,3,2,4,2,0,2,2,2,3,0,0,2021-02-17,Burkina Faso,,9
3,3,2,4,1,0,2,2,2,3,0,0,2021-02-18,Burkina Faso,,9
3,3,2,4,1,0,2,2,2,3,0,0,2021-02-19,Burkina Faso,,9
3,3,2,4,0,0,2,2,2,3,0,0,2021-02-20,Burkina Faso,,9
0,1,0,0,0,0,0,0,0,0,2,0,2021-02-15,Papua New Guinea,,0
0,1,0,0,0,0,0,0,0,0,2,0,2021-02-16,Papua New Guinea,,0
0,1,0,0,0,0,0,0,0,0,2,0,2021-02-17,Papua New Guinea,,0
0,0,0,0,0,0,0,0,0,0,2,0,2021-02-18,Papua New Guinea,,0
0,0,0,0,0,0,0,0,0,0,2,0,2021-02-19,Papua New Guinea,,0
0,0,0,0,0,0,0,0,0,0,2,0,2021-02-20,Papua New Guinea,,0
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-15,Papua New Guinea,,1
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-16,Papua New Guinea,,1
0,2,0,0,0,0,0,0,0,0,2,0,2021-02-17,Papua New Guinea,,1
0,1,0,0,0,0,0,0,0,0,2,0,2021-02-18,Papua New Guinea,,1
0,1,0,0,0,0,0,0,0,0,2,0,2021-02-19,Papua New Guinea,,1
0,0,0,0,0,0,0,0,0,0,2,0,2021-02-20,Papua New Guinea,,1
0,3,0,0,0,1,0,0,0,0,2,0,2021-02-15,Papua New Guinea,,2
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-16,Papua New Guinea,,2
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-17,Papua New Guinea,,2
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-18,Papua New Guinea,,2
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-19,Papua New Guinea,,2
0,1,0,0,0,0,0,0,0,0,2,0,2021-02-20,Papua New Guinea,,2
0,3,0,0,2,1,0,0,0,0,2,0,2021-02-15,Papua New Guinea,,3
0,3,0,0,1,1,0,0,0,0,2,0,2021-02-16,Papua New Guinea,,3
0,3,0,0,1,1,0,0,0,0,2,0,2021-02-17,Papua New Guinea,,3
0,3,0,0,1,1,0,0,0,0,2,0,2021-02-18,Papua New Guinea,,3
0,3,0,0,0,1,0,0,0,0,2,0,2021-02-19,Papua New Guinea,,3
0,3,0,0,0,0,0,0,0,0,2,0,2021-02-20,Papua New Guinea,,3
0,3,1,0,2,3,0,0,1,0,2,0,2021-02-15,Papua New Guinea,,4
0,3,1,0,2,3,0,0,0,0,2,0,2021-02-16,Papua New Guinea,,4
0,3,1,0,2,3,0,0,0,0,2,0,2021-02-17,Papua New Guinea,,4
0,3,0,0,2,3,0,0,0,0,2,0,2021-02-18,Papua New Guinea,,4
0,3,0,0,2,3,0,0,0,0,2,0,2021-02-19,Papua New Guinea,,4
0,3,0,0,2,3,0,0,0,0,2,0,2021-02-20,Papua New Guinea,,4
1,3,2,0,2,3,0,0,2,0,2,0,2021-02-15,Papua New Guinea,,5
1,3,2,0,2,3,0,0,2,0,2,0,2021-02-16,Papua New Guinea,,5
0,3,2,0,2,3,0,0,2,0,2,0,2021-02-17,Papua New Guinea,,5
0,3,2,0,2,3,0,0,2,0,2,0,2021-02-18,Papua New Guinea,,5
0,3,2,0,2,3,0,0,1,0,2,0,2021-02-19,Papua New Guinea,,5
0,3,1,0,2,3,0,0,0,0,2,0,2021-02-20,Papua New Guinea,,5
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-15,Papua New Guinea,,6
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-16,Papua New Guinea,,6
2,3,2,0,2,3,0,0,2,0,2,0,2021-02-17,Papua New Guinea,,6
1,3,2,0,2,3,0,0,2,0,2,0,2021-02-18,Papua New Guinea,,6
0,3,2,0,2,3,0,0,2,0,2,0,2021-02-19,Papua New Guinea,,6
0,3,1,0,2,3,0,0,1,0,2,0,2021-02-20,Papua New Guinea,,6
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-15,Papua New Guinea,,7
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-16,Papua New Guinea,,7
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-17,Papua New Guinea,,7
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-18,Papua New Guinea,,7
3,3,2,0,2,3,0,0,2,0,2,0,2021-02-19,Papua New Guinea,,7
3,3,2,0,2,3,0,0,1,0,2,0,2021-02-20,Papua New Guinea,,7
3,3,2,0,2,3,1,0,2,3,2,0,2021-02-15,Papua New Guinea,,8
3,3,2,0,2,3,0,0,2,3,2,0,2021-02-16,Papua New Guinea,,8
3,3,2,0,2,3,0,0,2,3,2,0,2021-02-17,Papua New Guinea,,8
3,3,2,0,2,3,0,0,2,3,2,0,2021-02-18,Papua New Guinea,,8
3,3,2,0,2,3,0,0,2,3,2,0,2021-02-19,Papua New Guinea,,8
3,3,2,0,2,3,0,0,2,3,2,0,2021-02-20,Papua New Guinea,,8
3,3,2,0,2,3,2,1,2,3,2,2,2021-02-15,Papua New Guinea,,9
3,3,2,0,2,3,2,1,2,3,2,1,2021-02-16,Papua New Guinea,,9
3,3,2,0,2,3,2,0,2,3,2,1,2021-02-17,Papua New Guinea,,9
3,3,2,0,2,3,2,0,2,3,2,1,2021-02-18,Papua New Guinea,,9
3,3,2,0,2,3,2,0,2,3,2,0,2021-02-19,Papua New Guinea,,9
3,3,2,0,2,3,2,0,2,3,2,0,2021-02-20,Papua New Guinea,,9
0,1,0,0,2,0,0,0,0,0,0,0,2021-02-15,United States,Missouri,0
0,0,0,0,2,0,0,0,0,0,0,0,2021-02-16,United States,Missouri,0
0,0,0,0,2,0,0,0,0,0,0,0,2021-02-17,United States,Missouri,0
0,0,0,0,2,0,0,0,0,0,0,0,2021-02-18,United States,Missouri,0
0,0,0,0,1,0,0,0,0,0,0,0,2021-02-19,United States,Missouri,0
0,0,0,0,1,0,0,0,0,0,0,0,2021-02-20,United States,Missouri,0
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-15,United States,Missouri,1
0,2,0,0,2,0,0,0,0,0,0,0,2021-02-16,United States,Missouri,1
0,2,0,0,2,0,0,0,0,0,0,0,2021-02-17,United States,Missouri,1
0,1,0,0,2,0,0,0,0,0,0,0,2021-02-18,United States,Missouri,1
0,0,0,0,2,0,0,0,0,0,0,0,2021-02-19,United States,Missouri,1
0,0,0,0,2,0,0,0,0,0,0,0,2021-02-20,United States,Missouri,1
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-15,United States,Missouri,2
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-16,United States,Missouri,2
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-17,United States,Missouri,2
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-18,United States,Missouri,2
0,2,0,0,2,0,0,0,0,0,0,0,2021-02-19,United States,Missouri,2
0,0,0,0,2,0,0,0,0,0,0,0,2021-02-20,United States,Missouri,2
2,3,0,0,2,0,0,0,0,0,0,0,2021-02-15,United States,Missouri,3
1,3,0,0,2,0,0,0,0,0,0,0,2021-02-16,United States,Missouri,3
1,3,0,0,2,0,0,0,0,0,0,0,2021-02-17,United States,Missouri,3
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-18,United States,Missouri,3
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-19,United States,Missouri,3
0,2,0,0,2,0,0,0,0,0,0,0,2021-02-20,United States,Missouri,3
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-15,United States,Missouri,4
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-16,United States,Missouri,4
2,3,0,0,2,0,0,0,0,0,0,0,2021-02-17,United States,Missouri,4
1,3,0,0,2,0,0,0,0,0,0,0,2021-02-18,United States,Missouri,4
1,3,0,0,2,0,0,0,0,0,0,0,2021-02-19,United States,Missouri,4
0,3,0,0,2,0,0,0,0,0,0,0,2021-02-20,United States,Missouri,4
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-15,United States,Missouri,5
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-16,United States,Missouri,5
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-17,United States,Missouri,5
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-18,United States,Missouri,5
3,3,0,0,2,0,0,0,0,0,0,0,2021-02-19,United States,Missouri,5
1,3,0,0,2,0,0,0,0,0,0,0,2021-02-20,United States,Missouri,5
3,3,0,0,2,0,0,1,0,0,2,0,2021-02-15,United States,Missouri,6
3,3,0,0,2,0,0,1,0,0,2,0,2021-02-16,United States,Missouri,6
3,3,0,0,2,0,0,0,0,0,2,0,2021-02-17,United States,Missouri,6
3,3,0,0,2,0,0,0,0,0,2,0,2021-02-18,United States,Missouri,6
